name,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
e1233.dat,10.0,1.546,0.01046,0.00582,-0.0846,0.2505,0.7492
n64212.dat,10.0,1.2345,0.01351,0.00866,-0.0337,0.0003,0.9773
jx-gs-04.dat,10.0,1.2062,0.01209,0.00754,-0.0082,0.0029,1.0
r1082.dat,10.0,1.1811,0.01351,0.00857,-0.0239,0.1391,0.8038
giiik.dat,10.0,1.2112,0.0125,0.00753,-0.0114,0.0004,1.0
goe448.dat,10.0,,,,,,
fx75vg166.dat,10.0,1.0543,0.01948,0.01402,-0.0119,0.0205,0.7965
goe400.dat,10.0,,,,,,
goe587.dat,10.0,,,,,,
s5020.dat,10.0,1.2228,0.01269,0.00794,0.0017,0.0018,1.0
kc135c.dat,10.0,1.2103,0.01286,0.00808,-0.0169,0.0051,1.0
ah93k131.dat,10.0,,,,,,
aquilasm.dat,10.0,1.4159,0.01325,0.00787,-0.0515,0.0045,1.0
sm701.dat,10.0,1.5242,0.013,0.00762,-0.0997,0.1175,0.734
mh22.dat,10.0,,,,,,
e221.dat,10.0,1.2061,0.01317,0.00863,-0.0071,0.0057,1.0
naca2415.dat,10.0,1.3172,0.0122,0.00694,-0.0409,0.0383,1.0
oa213.dat,10.0,1.3617,0.01057,0.0059,-0.0228,0.1053,1.0
goe436.dat,10.0,,,,,,
fx63143.dat,10.0,1.3353,0.01471,0.00929,-0.0441,0.0004,0.9096
eh0009.dat,10.0,1.0761,0.0142,0.01027,0.0076,0.0013,1.0
mh83.dat,10.0,,,,,,
fx71089a.dat,10.0,1.123,0.01105,0.00658,0.0081,0.0301,1.0
goe241.dat,10.0,1.7933,0.03888,0.03222,-0.1752,0.0026,0.524
e343.dat,10.0,1.3301,0.00851,0.00432,-0.0099,0.2175,0.9112
goe81.dat,10.0,1.537,0.02524,0.02023,-0.0905,0.0004,1.0
goe775.dat,10.0,1.0426,0.01085,0.00583,0.0149,0.088,0.8987
glennmartin2.dat,10.0,1.4608,0.0189,0.01327,-0.0536,0.0065,1.0
naca64a410.dat,10.0,1.375,0.015,0.01026,-0.069,0.0065,1.0
s4095.dat,10.0,1.4412,0.01735,0.012,-0.0637,0.0032,1.001
goe450.dat,10.0,,,,,,
n10.dat,10.0,1.5971,0.01676,0.01136,-0.0715,0.0051,1.0001
mh113.dat,10.0,1.797,0.01445,0.00977,-0.1581,0.2023,1.0
s3010.dat,10.0,1.396,0.01185,0.00675,-0.0496,0.0261,1.0
curtisc72.dat,10.0,1.6552,0.01723,0.01177,-0.0819,0.0085,1.0
ui1720.dat,10.0,,,,,,
e678.dat,10.0,1.438,0.02298,0.01701,-0.118,0.002,0.8084
mh45.dat,10.0,1.2047,0.01152,0.0067,-0.0038,0.0089,1.0
sg6050.dat,10.0,1.4492,0.01409,0.00871,-0.0812,0.0411,1.0
e387.dat,10.0,1.4292,0.01547,0.01064,-0.0683,0.0037,1.0
clarkx.dat,10.0,,,,,,
fx73cl3152.dat,10.0,2.0072,0.01119,0.00689,-0.1811,0.2825,1.0
giiia.dat,10.0,,,,,,
raf89.dat,10.0,0.7317,0.02403,0.01789,0.0432,0.001,0.6133
psu94097.dat,10.0,1.5622,0.01582,0.01047,-0.1052,0.0001,1.0
marske1.dat,10.0,1.1851,0.0139,0.00887,0.0306,0.0005,0.9956
e1210.dat,10.0,1.6596,0.01005,0.00561,-0.0842,0.1994,1.0
goe596.dat,10.0,,,,,,
naca661212.dat,10.0,1.1386,0.01428,0.00942,-0.02,0.0081,0.8549
e216.dat,10.0,1.7594,0.01793,0.01225,-0.1679,0.0047,1.0
fg4.dat,10.0,1.5188,0.01623,0.01069,-0.0613,0.0336,1.0
rg15.dat,10.0,1.3124,0.01467,0.01015,-0.0477,0.0019,1.0
fx76mp120.dat,10.0,1.7835,0.02071,0.01554,-0.1743,0.1168,1.0
naca1408.dat,10.0,1.2066,0.01317,0.00868,-0.0202,0.0033,1.0
e197.dat,10.0,1.2814,0.01374,0.00855,-0.041,0.0036,1.0
ag24.dat,10.0,1.3868,0.01407,0.00928,-0.0602,0.0017,1.0
hor12.dat,10.0,1.6122,0.01583,0.01016,-0.1085,0.0005,0.9995
goe493.dat,10.0,,,,,,
e184.dat,10.0,0.9784,0.01475,0.0123,0.0226,0.0021,1.0
e582.dat,10.0,1.3889,0.01562,0.01019,-0.0761,0.0722,0.8095
n66021.dat,10.0,0.6484,0.01769,0.01206,0.0652,0.0203,0.7158
ag455ct02r.dat,10.0,1.2835,0.01288,0.00831,-0.0261,0.0027,1.0
e580.dat,10.0,1.4985,0.01908,0.01277,-0.1111,0.0007,0.6122
m1.dat,10.0,,,,,,
vr15.dat,10.0,1.1883,0.0115,0.00669,-0.0016,0.01,1.0
lg10sc.dat,10.0,1.2196,0.01103,0.00608,-0.0083,0.0252,1.0
usa41.dat,10.0,1.2806,0.0393,0.03655,-0.0462,0.0005,1.0
e226.dat,10.0,1.1723,0.01392,0.00948,-0.013,0.0036,1.0
usa40b.dat,10.0,1.506,0.01546,0.00986,-0.0685,0.001,1.0
goe498.dat,10.0,1.4289,0.01994,0.01427,-0.0799,0.0,1.0
c141f.dat,10.0,1.3718,0.01244,0.00709,-0.0561,0.0201,1.0
s3025.dat,10.0,1.4188,0.01426,0.0092,-0.0638,0.0049,1.0
goe683.dat,10.0,0.994,0.02059,0.01544,0.03,0.0014,0.9816
fx74130wp2.dat,10.0,1.2958,0.01964,0.01419,-0.0688,0.0018,0.8433
e392.dat,10.0,1.4939,0.01496,0.00985,-0.0874,0.0051,1.0
sd7034.dat,10.0,1.4913,0.01231,0.00711,-0.0729,0.0379,1.0
e328.dat,10.0,1.2743,0.0101,0.00526,-0.0088,0.1077,0.8715
fx79l120.dat,10.0,1.1329,0.01119,0.00646,-0.0015,0.0136,1.0
ag16.dat,10.0,,,,,,
b540ols.dat,10.0,1.1465,0.01123,0.00643,0.0027,0.0112,1.0
dga1138.dat,10.0,1.3719,0.01802,0.0138,-0.0444,0.0017,1.0
v23010.dat,10.0,1.2072,0.01283,0.00791,-0.0012,0.0013,1.0
n64012.dat,10.0,1.0834,0.01288,0.00824,0.0026,0.0006,0.9331
dsma523b.dat,10.0,1.672,0.01633,0.0105,-0.1364,0.0182,0.6696
goe324.dat,10.0,1.5435,0.01733,0.01167,-0.0605,0.0005,1.0
mh91.dat,10.0,1.1538,0.00897,0.00462,0.0225,0.1244,0.9414
rc0864c.dat,10.0,,,,,,
sd8040.dat,10.0,1.392,0.01189,0.00675,-0.0538,0.0246,1.0
goe585.dat,10.0,,,,,,
mh92.dat,10.0,1.1417,0.00893,0.00458,0.0262,0.1318,0.9242
fx84w218.dat,10.0,1.2555,0.01296,0.00876,-0.0401,0.2597,0.8351
du84132v.dat,10.0,1.3704,0.01539,0.00944,-0.0669,0.0003,0.7735
nl722343.dat,10.0,1.2706,0.01343,0.00795,-0.0347,0.0065,0.6982
defcnd2.dat,10.0,1.2784,0.01531,0.00988,-0.032,0.001,1.0
k3.dat,10.0,1.5626,0.01859,0.01231,-0.1143,0.0125,0.6112
naca2410.dat,10.0,1.3266,0.01199,0.00694,-0.0457,0.0147,1.0
e479.dat,10.0,1.1165,0.0116,0.00658,0.0065,0.018,0.9966
fx74cl6140.dat,10.0,1.945,0.00991,0.00568,-0.1594,0.284,0.8644
ssca07.dat,10.0,1.1854,0.01259,0.00814,-0.0119,0.0023,1.0
naca1412.dat,10.0,1.2237,0.01151,0.00654,-0.0211,0.0232,1.0
naca633218.dat,10.0,1.2376,0.01351,0.00787,-0.0335,0.0271,0.7194
naca0006.dat,10.0,0.9493,0.05178,0.05075,0.008,0.0012,1.0
fx61168.dat,10.0,1.455,0.01822,0.01223,-0.0903,0.0003,0.6804
ste87151.dat,10.0,1.3367,0.01595,0.01021,-0.0731,0.0255,0.7755
naca23018.dat,10.0,1.2265,0.01075,0.00596,0.0029,0.096,0.9894
mh64.dat,10.0,1.1844,0.01422,0.00998,-0.007,0.0008,1.0
ag45c03.dat,10.0,1.203,0.01116,0.00636,-0.0281,0.0047,1.003
naca643618.dat,10.0,1.408,0.01799,0.01212,-0.0853,0.0273,0.7181
e435.dat,10.0,1.4996,0.01682,0.01126,-0.1113,0.095,0.7002
m15.dat,10.0,1.288,0.01775,0.01277,-0.0309,0.0006,1.0
goe676.dat,10.0,1.1342,0.02109,0.0166,-0.0069,0.0005,1.0
nlf0215f.dat,10.0,1.5259,0.01655,0.01047,-0.1093,0.0281,0.7045
hq09.dat,10.0,,,,,,
rae69ck.dat,10.0,1.2418,0.01376,0.00847,-0.0492,0.0055,0.7405
goe429.dat,10.0,,,,,,
e836.dat,10.0,0.8415,0.01664,0.01352,0.0362,0.0004,0.8665
bambino6.dat,10.0,,,,,,
daytonwrightt1.dat,10.0,1.5473,0.01853,0.01295,-0.0616,0.0134,1.0
