name,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
r1046.dat,-1.5,0.4968,0.00691,0.00158,-0.1227,0.5228,0.0747
usa26.dat,-1.5,0.2458,0.00699,0.00116,-0.0756,0.435,0.0183
sc20414.dat,-1.5,0.1359,0.00455,0.00115,-0.0889,0.6897,0.542
goe229.dat,-1.5,0.5769,0.01123,0.00375,-0.1611,0.0499,0.0109
hq2195.dat,-1.5,0.1495,0.00563,0.00067,-0.0697,0.7031,0.0117
n63415.dat,-1.5,0.1831,0.0047,0.0007,-0.0794,0.582,0.4647
eh2012.dat,-1.5,-0.0715,0.00638,0.00096,-0.0004,0.4505,0.1586
goe394.dat,-1.5,,,,,,
naca66206.dat,-1.5,0.0182,0.00498,0.0005,-0.0435,0.8416,0.0221
ah79100c.dat,-1.5,0.7393,0.00537,0.00088,-0.2153,0.7004,0.0466
m20.dat,-1.5,,,,,,
e422.dat,-1.5,0.5406,0.00713,0.00149,-0.1274,0.4148,0.0427
oaf095.dat,-1.5,0.3544,0.00536,0.00101,-0.1262,0.6721,0.1898
naca23018.dat,-1.5,-0.0354,0.00624,0.00131,-0.0051,0.4167,0.4118
fg4.dat,-1.5,0.2608,0.00913,0.00293,-0.0549,0.3021,0.0214
sg6041.dat,-1.5,0.131,0.00491,0.00063,-0.0629,0.7498,0.1882
usa40b.dat,-1.5,0.3464,0.00773,0.00149,-0.0995,0.2927,0.0313
goe123.dat,-1.5,,,,,,
goe796.dat,-1.5,0.2219,0.00618,0.001,-0.0844,0.619,0.0653
k3.dat,-1.5,0.4335,0.00495,0.00139,-0.1559,0.7195,0.4475
mh83.dat,-1.5,0.2905,0.00739,0.0015,-0.0653,0.3328,0.0127
e541.dat,-1.5,0.0857,0.00382,0.00085,-0.0513,0.6965,0.7278
goe423.dat,-1.5,0.3564,0.00734,0.0016,-0.1056,0.5041,0.0493
davis_corrected.dat,-1.5,0.0029,0.00627,0.00108,-0.0181,0.4336,0.2664
rc12b3.dat,-1.5,-0.0504,0.00623,0.00113,-0.0065,0.6765,0.0825
giiic.dat,-1.5,-0.1201,0.00633,0.00094,0.0011,0.6748,0.0014
hq3010.dat,-1.5,0.2557,0.00563,0.00065,-0.091,0.6812,0.0015
s1016.dat,-1.5,-0.1625,0.00467,0.00123,-0.0005,0.756,0.506
goe477.dat,-1.5,0.3787,0.00624,0.00141,-0.1103,0.6378,0.0136
fxm2.dat,-1.5,0.4074,0.00827,0.00196,-0.1043,0.1702,0.0185
sa7038.dat,-1.5,0.2294,0.00587,0.0008,-0.0825,0.6223,0.0095
ua2-180sm.dat,-1.5,0.468,0.00814,0.00263,-0.096,0.47,0.0164
goe346.dat,-1.5,0.2331,0.00591,0.00107,-0.0773,0.6854,0.0042
goe769.dat,-1.5,0.2696,0.00746,0.00148,-0.064,0.3375,0.0347
usa40.dat,-1.5,0.3907,0.0071,0.0013,-0.1176,0.3935,0.0587
curtisc72.dat,-1.5,0.5275,0.00562,0.00083,-0.101,0.4922,0.3094
naca001066.dat,-1.5,-0.0375,0.00504,0.00111,-0.0303,0.9197,0.2607
naca23021.dat,-1.5,-0.0346,0.00668,0.00162,-0.0027,0.3959,0.408
aquilasm.dat,-1.5,0.2253,0.00641,0.00111,-0.0659,0.5309,0.0087
r1082t.dat,-1.5,0.1738,0.00562,0.00108,-0.0658,0.5541,0.368
cast102.dat,-1.5,0.1083,0.00588,0.00112,-0.0626,0.8052,0.0203
dfvlrr4.dat,-1.5,0.2822,0.00426,0.00094,-0.1172,0.725,0.5562
avistar.dat,-1.5,0.0021,0.00723,0.0015,-0.0318,0.5377,0.0308
e551.dat,-1.5,0.2652,0.00531,0.00099,-0.099,0.537,0.4457
goe387.dat,-1.5,0.3934,0.00693,0.00142,-0.1011,0.5133,0.0199
s9000.dat,-1.5,0.1759,0.00508,0.00055,-0.0741,0.6293,0.2125
eh0009.dat,-1.5,,,,,,
naca66-018.dat,-1.5,-0.1801,0.0041,0.00095,0.0037,0.6984,0.6747
goe286.dat,-1.5,,,,,,
nlf416.dat,-1.5,0.3027,0.00511,0.00096,-0.1053,0.4529,0.5701
goe381.dat,-1.5,,,,,,
e850.dat,-1.5,0.1609,0.00328,0.00028,-0.0921,0.8948,0.4804
oa213.dat,-1.5,-0.0216,0.00705,0.00158,0.0045,0.5256,0.0206
c5d.dat,-1.5,0.0785,0.00515,0.00078,-0.0633,0.8117,0.1476
mh81.dat,-1.5,0.0194,0.00743,0.00134,-0.0012,0.3286,0.0141
e818.dat,-1.5,0.3066,0.00377,0.00036,-0.1338,0.8392,0.3846
n64012.dat,-1.5,-0.1746,0.00437,0.00054,0.0015,0.6294,0.4948
mh30.dat,-1.5,,,,,,
naca1412.dat,-1.5,-0.0451,0.00545,0.00082,-0.0265,0.6185,0.277
rc410.dat,-1.5,-0.0595,0.00613,0.00094,-0.0032,0.5819,0.0801
ys930.dat,-1.5,0.2448,0.00465,0.00052,-0.1101,0.7904,0.2229
joukowsk.dat,-1.5,-0.176,0.00548,0.00072,0.0003,0.4915,0.2977
goe361.dat,-1.5,0.414,0.00655,0.00111,-0.1144,0.4509,0.0061
hq259b.dat,-1.5,0.2122,0.00554,0.00062,-0.0838,0.707,0.0016
naca0006.dat,-1.5,-0.1605,0.00478,0.00057,-0.0009,0.8817,0.1437
goe116.dat,-1.5,,,,,,
s6062.dat,-1.5,0.0035,0.00537,0.00056,-0.0336,0.6887,0.0852
fx6617ai.dat,-1.5,0.2657,0.00553,0.00107,-0.0883,0.475,0.474
e625.dat,-1.5,-0.039,0.00753,0.00152,0.0114,0.4155,0.0157
goe704.dat,-1.5,-0.0476,0.00709,0.00142,-0.0088,0.5991,0.0145
naca664221.dat,-1.5,-0.0038,0.00448,0.00126,-0.0363,0.6853,0.6674
sc20710.dat,-1.5,0.3672,0.0053,0.00122,-0.1261,0.4725,0.6049
mh113.dat,-1.5,0.7504,0.00618,0.00132,-0.1989,0.5797,0.0858
e336.dat,-1.5,-0.0664,0.00798,0.00165,0.0181,0.3324,0.0039
fauvel.dat,-1.5,-0.1415,0.00776,0.00162,0.0343,0.3542,0.0288
ah81k144.dat,-1.5,0.2889,0.00539,0.00091,-0.0931,0.6612,0.2217
ma409.dat,-1.5,0.3796,0.00579,0.0006,-0.1055,0.5234,0.1071
naca4412.dat,-1.5,0.3209,0.00595,0.0009,-0.1044,0.5733,0.129
goe389.dat,-1.5,0.2854,0.00688,0.00104,-0.0914,0.4516,0.0037
j5012.dat,-1.5,-0.1504,0.00469,0.00072,-0.0041,0.6988,0.4172
sa7024.dat,-1.5,0.2578,0.00562,0.00082,-0.0934,0.6632,0.0068
usa50.dat,-1.5,,,,,,
fx60177.dat,-1.5,,,,,,
clarkys.dat,-1.5,-0.1236,0.00294,-0.00272,0.0224,0.5369,0.003
fx78pk188.dat,-1.5,0.1164,0.00423,0.00095,-0.0616,0.6721,0.6559
gs1.dat,-1.5,0.317,0.00617,0.00102,-0.1086,0.5282,0.1291
naca65206.dat,-1.5,0.0143,0.00499,0.00049,-0.0425,0.827,0.0215
supermarine371ii.dat,-1.5,-0.0606,0.00549,0.00066,-0.0213,0.7307,0.0795
rg149.dat,-1.5,0.0519,0.00599,0.00074,-0.0444,0.6572,0.0015
goe592.dat,-1.5,0.6452,0.00679,0.00155,-0.1592,0.5703,0.0023
jx-gs-10.dat,-1.5,-0.0156,0.00564,0.0006,-0.0257,0.6133,0.0799
usa34.dat,-1.5,0.4371,0.00811,0.00227,-0.1061,0.4821,0.0033
clarkv.dat,-1.5,0.2892,0.00582,0.00084,-0.1034,0.7149,0.021
e852.dat,-1.5,0.2659,0.00401,0.00042,-0.1116,0.741,0.4509
goe723.dat,-1.5,0.3241,0.00635,0.00098,-0.1078,0.5579,0.02
goe797.dat,-1.5,0.3831,0.00681,0.00147,-0.1211,0.5892,0.0709
naca64208.dat,-1.5,0.0103,0.005,0.0005,-0.0413,0.7338,0.149
e858.dat,-1.5,0.385,0.00708,0.00186,-0.1085,0.3638,0.36
hobiesm.dat,-1.5,0.2929,0.00525,0.00047,-0.1012,0.6234,0.1181
goe481.dat,-1.5,0.6337,0.02163,0.01781,-0.17,0.4725,0.0705
goe190.dat,-1.5,0.5084,0.00297,-0.00255,-0.1515,0.4719,0.003
raf28.dat,-1.5,0.0593,0.00614,0.0008,-0.0478,0.636,0.0031
goe241.dat,-1.5,0.9588,0.0086,0.00276,-0.2276,0.4092,0.0019
n10.dat,-1.5,0.4402,0.00691,0.00114,-0.0858,0.3372,0.2013
naca0021.dat,-1.5,-0.1708,0.00665,0.00165,-0.0002,0.4767,0.3519
n5h20.dat,-1.5,0.1924,0.00797,0.00235,-0.0299,0.5328,0.0263
goe702.dat,-1.5,0.2556,0.00765,0.00165,-0.0645,0.3742,0.0522
trainer60.dat,-1.5,-0.18,0.00652,0.00148,0.0046,0.4272,0.3594
sc20614.dat,-1.5,0.3157,0.00511,0.00136,-0.1191,0.5797,0.5636
n14.dat,-1.5,-0.1125,0.00601,0.00107,-0.0119,0.7294,0.1109
eh2510.dat,-1.5,-0.0569,0.00848,0.0014,-0.0001,0.0123,0.0139
ls013.dat,-1.5,-0.181,0.0052,0.00114,0.0032,0.6913,0.3923
n64212mb.dat,-1.5,0.0138,0.00667,0.00105,-0.03,0.2409,0.2931
daytonwright6.dat,-1.5,,,,,,
goe679.dat,-1.5,0.2436,0.00739,0.00167,-0.0803,0.4184,0.1385
nlr7301.dat,-1.5,0.1154,0.00551,0.00122,-0.0757,0.4556,0.4898
hq108.dat,-1.5,-0.0218,0.00572,0.00062,-0.031,0.7135,0.0016
p51hroot.dat,-1.5,-0.0237,0.00441,0.00073,-0.029,0.651,0.5597
goe474.dat,-1.5,0.164,0.00555,0.0007,-0.0701,0.7176,0.0063
hh02.dat,-1.5,,,,,,
r140.dat,-1.5,-0.1116,0.00735,0.00106,-0.009,0.4443,0.0052
s4320.dat,-1.5,0.3205,0.00604,0.001,-0.095,0.5724,0.0143
usa41.dat,-1.5,0.3204,0.00604,0.00087,-0.102,0.5542,0.0062
ste87391.dat,-1.5,0.6122,0.00434,0.00088,-0.1847,0.8322,0.2992
m2.dat,-1.5,-0.1696,0.00622,0.00106,0.0018,0.7428,0.0146
ag04.dat,-1.5,0.0156,0.00533,0.00053,-0.0355,0.6338,0.1186
hor20.dat,-1.5,0.1941,0.00729,0.00188,-0.0869,0.4213,0.2089
e212.dat,-1.5,0.338,0.0046,0.00055,-0.1265,0.6867,0.3133
fx84w097.dat,-1.5,0.0919,0.00565,0.00066,-0.0485,0.6028,0.0887
ag19.dat,-1.5,0.0969,0.00528,0.0005,-0.0542,0.6759,0.0383
goe257.dat,-1.5,0.2351,0.00727,0.00185,-0.0733,0.5524,0.0054
la2573a.dat,-1.5,-0.0942,0.00757,0.00164,0.0188,0.3861,0.0301
cootie.dat,-1.5,0.4631,0.00639,0.00112,-0.1134,0.5587,0.0042
goe650.dat,-1.5,0.3762,0.00573,0.00091,-0.1268,0.6324,0.1207
m24.dat,-1.5,0.1406,0.00774,0.002,-0.0166,0.4585,0.0035
usnps4.dat,-1.5,0.4932,0.007,0.0015,-0.1331,0.5266,0.0251
naca0015.dat,-1.5,-0.171,0.00575,0.00107,0.0,0.5577,0.3475
rc10b3.dat,-1.5,-0.0784,0.00605,0.00101,-0.005,0.7207,0.0443
fx84w150.dat,-1.5,0.3129,0.00587,0.001,-0.0968,0.5877,0.1531
goe493.dat,-1.5,0.2803,0.00657,0.00116,-0.104,0.6156,0.0026
rc10n1.dat,-1.5,-0.1158,0.00635,0.00097,0.007,0.6335,0.0111
raf30.dat,-1.5,-0.1365,0.00665,0.00117,-0.0062,0.615,0.0605
s4083.dat,-1.5,0.2694,0.0065,0.00093,-0.0909,0.4579,0.0065
e547.dat,-1.5,0.0929,0.00465,0.00087,-0.0468,0.5323,0.6353
goe780.dat,-1.5,,,,,,
goe624.dat,-1.5,0.3656,0.00751,0.00164,-0.0976,0.4765,0.0015
s4061.dat,-1.5,0.2454,0.00542,0.00062,-0.084,0.62,0.0922
ag14.dat,-1.5,0.0764,0.0054,0.00051,-0.0499,0.6431,0.041
sc1012r8.dat,-1.5,0.0708,0.00788,0.0017,-0.0284,0.3212,0.0221
goe553.dat,-1.5,0.3996,0.00694,0.00123,-0.1074,0.4539,0.002
fx60100.dat,-1.5,0.3436,0.00536,0.00059,-0.1184,0.593,0.1517
k1.dat,-1.5,0.1207,0.00403,0.00051,-0.0843,0.751,0.4266
coanda1.dat,-1.5,0.1088,0.00582,0.00074,-0.0428,0.5996,0.059
giiib.dat,-1.5,-0.13,0.00659,0.00103,0.0037,0.6341,0.0014
goe508.dat,-1.5,0.4094,0.00716,0.00155,-0.1059,0.5097,0.0261
ah7476.dat,-1.5,0.7188,0.00544,0.00126,-0.2062,0.7786,0.0085
hq1010.dat,-1.5,,,,,,
ag37.dat,-1.5,0.2126,0.0056,0.00067,-0.0455,0.4861,0.2642
naca16018.dat,-1.5,-0.0865,0.00371,0.00107,-0.0181,0.8425,0.7534
hs1620.dat,-1.5,0.4336,0.00778,0.00249,-0.1306,0.5816,0.1823
fx73cl1152.dat,-1.5,0.4617,0.0074,0.00158,-0.1166,0.3667,0.0484
spicasm.dat,-1.5,0.3148,0.00679,0.00144,-0.0853,0.5218,0.0204
e393.dat,-1.5,0.3848,0.00521,0.00068,-0.125,0.5864,0.2548
naca16012.dat,-1.5,-0.1224,0.00401,0.00083,-0.0096,0.8852,0.5459
e220.dat,-1.5,-0.0404,0.00583,0.00085,-0.0086,0.5941,0.1532
e561.dat,-1.5,0.545,0.00644,0.00134,-0.1611,0.4471,0.2549
goe63.dat,-1.5,0.5215,0.00716,0.00209,-0.1271,0.5478,0.0014
fx77w270s.dat,-1.5,0.1391,0.00823,0.00283,-0.0298,0.3917,0.3453
