name,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
e186.dat,-1.0,,,,,,
naca654421a05.dat,-1.0,0.205,0.00507,0.00118,-0.0573,0.5747,0.5494
goe648.dat,-1.0,0.3448,0.00807,0.00166,-0.08,0.3181,0.0023
eh3012.dat,-1.0,0.0317,0.00718,0.00111,0.0005,0.4039,0.0016
naca662215.dat,-1.0,0.0637,0.00378,0.00067,-0.0409,0.7175,0.6718
ag46ct02r.dat,-1.0,0.0584,0.00553,0.00046,-0.029,0.5397,0.1091
naca6412.dat,-1.0,0.5229,0.00628,0.00107,-0.1344,0.5283,0.0963
ag47c03.dat,-1.0,-0.0857,0.00571,0.00073,-0.0199,0.664,0.0165
goe604.dat,-1.0,0.4113,0.00793,0.00176,-0.0783,0.3788,0.0031
usa48.dat,-1.0,0.2646,0.00715,0.00126,-0.081,0.4768,0.0267
ua79sf18.dat,-1.0,0.4357,0.00562,0.00137,-0.1231,0.7208,0.2701
mh95.dat,-1.0,0.1213,0.00462,0.00093,-0.046,0.5618,0.612
goe585.dat,-1.0,0.2672,0.00606,0.00071,-0.0751,0.5648,0.0032
s1223rtl.dat,-1.0,1.0893,0.00949,0.00332,-0.2659,0.281,0.0268
ls417.dat,-1.0,0.4293,0.00457,0.00124,-0.1201,0.6731,0.6061
ht12.dat,-1.0,-0.1044,0.0053,0.00055,-0.002,0.5535,0.2358
ag03.dat,-1.0,,,,,,
ah79100a.dat,-1.0,0.3799,0.00459,0.00046,-0.1168,0.6436,0.3188
hq209.dat,-1.0,0.1737,0.00561,0.00055,-0.0612,0.6683,0.0051
rhodesg34.dat,-1.0,0.5759,0.00802,0.00176,-0.084,0.2813,0.0756
rcsc2.dat,-1.0,-0.0134,0.00511,0.00081,-0.0254,0.8,0.1866
rg12.dat,-1.0,0.1082,0.00446,0.00047,-0.0488,0.6411,0.4293
hsnlf213.dat,-1.0,-0.0104,0.00401,0.00064,-0.0099,0.6788,0.6073
waspsm.dat,-1.0,0.2222,0.00588,0.00067,-0.0675,0.5208,0.1245
e583.dat,-1.0,0.4389,0.00539,0.00112,-0.1073,0.5823,0.3927
rae5214.dat,-1.0,0.1222,0.00517,0.00063,-0.0545,0.6028,0.2489
arad20.dat,-1.0,0.2421,0.00823,0.00284,-0.0354,0.3329,0.3525
e342.dat,-1.0,0.0911,0.00763,0.00147,-0.0015,0.3683,0.0149
sc20712.dat,-1.0,0.4411,0.00628,0.00164,-0.1298,0.3266,0.5958
giiik.dat,-1.0,0.0284,0.00597,0.00085,-0.0192,0.6396,0.0259
goe802.dat,-1.0,0.5301,0.0068,0.0014,-0.1232,0.5043,0.0036
goe422.dat,-1.0,0.6374,0.00735,0.00177,-0.1469,0.4773,0.0623
amsoil1.dat,-1.0,0.1205,0.0059,0.00103,-0.0491,0.6811,0.0839
mh84.dat,-1.0,0.3512,0.00685,0.00122,-0.0705,0.333,0.0924
fx78k150.dat,-1.0,0.3131,0.00542,0.00095,-0.0856,0.6434,0.2678
fx63137.dat,-1.0,0.8098,0.00763,0.00174,-0.208,0.3948,0.0211
raf32md.dat,-1.0,0.4084,0.00554,0.00062,-0.1218,0.6756,0.0223
goe322.dat,-1.0,0.4607,0.00717,0.00153,-0.0912,0.473,0.0026
mh108.dat,-1.0,-0.1147,0.00595,0.00077,0.0176,0.3661,0.3189
s8023.dat,-1.0,-0.1137,0.00602,0.00055,-0.0006,0.3489,0.1926
raf25.dat,-1.0,0.0314,0.00524,0.00043,-0.0334,0.7535,0.0413
naca643418.dat,-1.0,0.24,0.00506,0.00094,-0.0785,0.5394,0.5014
sg6051.dat,-1.0,0.2574,0.00533,0.00108,-0.0803,0.6816,0.3274
goe288.dat,-1.0,0.5643,0.00674,0.00156,-0.14,0.446,0.2314
n64110.dat,-1.0,-0.0251,0.00407,0.00039,-0.0204,0.6557,0.513
p51dtip.dat,-1.0,0.042,0.00602,0.00086,-0.0322,0.6753,0.0222
eh1090.dat,-1.0,-0.0671,0.00511,0.00052,0.0001,0.527,0.3486
giiie.dat,-1.0,,,,,,
fx601261.dat,-1.0,0.4738,0.00666,0.00107,-0.1329,0.4765,0.0061
eiffel428.dat,-1.0,0.3819,0.00849,0.00168,-0.0825,0.0918,0.0352
