name,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
naca671215.dat,5.5,0.5442,0.00924,0.004,0.0042,0.0479,0.8222
gs1.dat,5.5,1.0238,0.01021,0.00475,-0.0913,0.0009,1.0
ag24.dat,5.5,0.9134,0.0074,0.00268,-0.065,0.0684,1.0
naca001034a08cli0.2.dat,5.5,0.7656,0.0085,0.00366,-0.0409,0.0034,0.9957
mh43.dat,5.5,0.763,0.00714,0.00248,-0.0249,0.0413,1.0
rg149.dat,5.5,,,,,,
goe229.dat,5.5,,,,,,
e195.dat,5.5,0.9559,0.00722,0.00273,-0.0714,0.1628,1.0
wb140.dat,5.5,1.0406,0.01129,0.00456,-0.0904,0.1313,0.1464
hq258.dat,5.5,,,,,,
fxm2.dat,5.5,1.1893,0.01062,0.00389,-0.0974,0.041,0.3066
goe217.dat,5.5,1.5462,0.01167,0.00562,-0.1816,0.1687,0.4484
fxs03182.dat,5.5,0.9309,0.01211,0.00587,-0.088,0.0009,0.6126
fx73k170.dat,5.5,1.1861,0.00609,0.00225,-0.1348,0.5039,0.6284
ah93w215.dat,5.5,0.8779,0.0063,0.00217,-0.0498,0.4003,0.6799
goe410.dat,5.5,0.6183,0.00948,0.00343,0.0038,0.0008,0.5418
e662.dat,5.5,,,,,,
s1221.dat,5.5,1.4159,0.00826,0.00296,-0.1876,0.2532,0.4668
ah79100c.dat,5.5,1.3639,0.00938,0.00462,-0.1848,0.2186,1.0
e542.dat,5.5,0.8197,0.00646,0.00228,-0.0387,0.3414,0.7632
naca663418.dat,5.5,0.7702,0.00979,0.00475,-0.0495,0.1888,0.7195
defcnd2.dat,5.5,0.9599,0.00715,0.00286,-0.0587,0.2368,0.9833
ag46ct02r.dat,5.5,0.7841,0.00685,0.00224,-0.0273,0.0493,1.0
ag47ct02r.dat,5.5,0.7427,0.00689,0.00229,-0.0199,0.026,1.0
df101.dat,5.5,0.8628,0.00676,0.00241,-0.0497,0.1591,0.9939
s3024.dat,5.5,0.977,0.00723,0.00268,-0.0733,0.1515,1.0
fg2.dat,5.5,1.0483,0.00908,0.00372,-0.0788,0.0096,1.0
c141d.dat,5.5,0.7928,0.00788,0.00299,-0.0421,0.0537,0.9917
sd7062.dat,5.5,1.0926,0.00696,0.00275,-0.0858,0.2396,1.0
rc08b3.dat,5.5,0.6533,0.00782,0.0029,-0.0019,0.0007,0.9916
n64008a.dat,5.5,,,,,,
goe612.dat,5.5,,,,,,
fx66s196.dat,5.5,1.1388,0.00628,0.00208,-0.1157,0.4695,0.5328
e228.dat,5.5,0.5853,0.00671,0.00226,0.0123,0.0491,0.9873
goe269.dat,5.5,,,,,,
e591.dat,5.5,1.545,0.00938,0.00417,-0.1995,0.2732,0.5756
mh42.dat,5.5,0.7837,0.00678,0.0023,-0.0281,0.0882,1.0
e422.dat,5.5,1.3502,0.0067,0.00282,-0.13,0.3509,1.0
hq2512.dat,5.5,0.9229,0.00967,0.00385,-0.0684,0.0009,0.7472
hq2511.dat,5.5,0.9468,0.00818,0.00291,-0.0732,0.0973,0.7582
s7075.dat,5.5,0.9966,0.00784,0.00297,-0.0864,0.0815,1.0
goe344.dat,5.5,,,,,,
hq17.dat,5.5,0.8778,0.0132,0.00743,-0.0747,0.001,0.8206
goe645.dat,5.5,1.0267,0.01165,0.00504,-0.0712,0.0009,0.4797
ah7476.dat,5.5,,,,,,
ames01.dat,5.5,0.7214,0.00655,0.00228,-0.0076,0.1537,0.9991
e423.dat,5.5,1.6983,0.00845,0.00375,-0.2326,0.4409,0.3459
goe738.dat,5.5,0.6814,0.0089,0.00393,0.0085,0.001,0.9773
goe531.dat,5.5,1.5574,0.01443,0.01,-0.2354,0.5502,0.0717
m6.dat,5.5,0.6787,0.00845,0.00339,0.0043,0.0019,0.9827
s9033.dat,5.5,0.6264,0.00679,0.00227,0.0009,0.0218,1.0
goe532.dat,5.5,1.1241,0.0105,0.00495,-0.0894,0.0004,1.0
hobie.dat,5.5,,,,,,
goe525.dat,5.5,1.5653,0.02232,0.01546,-0.2225,0.0006,0.5272
fx75193.dat,5.5,1.0025,0.00966,0.00506,-0.1054,0.3218,0.6739
ls421mod.dat,5.5,1.2215,0.01018,0.00475,-0.1098,0.1739,0.6651
