name,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
e1233.dat,3.0,0.8744,0.00696,0.00231,-0.1031,0.326,0.6876
n64212.dat,3.0,0.5132,0.00669,0.00154,-0.0426,0.1298,0.668
jx-gs-04.dat,3.0,0.4775,0.00475,0.00085,-0.0197,0.2101,1.0
r1082.dat,3.0,0.7224,0.00502,0.00145,-0.0762,0.5219,0.7599
giiik.dat,3.0,0.4492,0.00538,0.00117,-0.0138,0.1703,0.9193
goe448.dat,3.0,1.4563,0.00888,0.00347,-0.2372,0.4356,0.0667
fx75vg166.dat,3.0,0.6513,0.00458,0.00156,-0.0644,0.6143,0.7813
goe400.dat,3.0,0.7551,0.00896,0.00203,-0.0778,0.0016,0.1007
goe587.dat,3.0,0.5332,0.00245,-0.00244,-0.0348,0.0025,0.9314
s5020.dat,3.0,0.4931,0.00437,0.00082,-0.0055,0.3036,1.0
kc135c.dat,3.0,0.4832,0.00534,0.00104,-0.0215,0.3062,0.7556
ah93k131.dat,3.0,0.5571,0.00433,0.00175,-0.0264,0.5985,0.9788
aquilasm.dat,3.0,0.7607,0.00489,0.00119,-0.073,0.3461,1.0
sm701.dat,3.0,0.8898,0.00714,0.00222,-0.1249,0.3077,0.5973
mh22.dat,3.0,0.481,0.00549,0.00112,-0.0222,0.1078,0.9986
e221.dat,3.0,0.4182,0.0044,0.00096,-0.0009,0.3394,0.9859
naca2415.dat,3.0,0.592,0.00592,0.00152,-0.0523,0.3412,0.6955
oa213.dat,3.0,0.5348,0.00614,0.00192,-0.0081,0.2184,0.8942
goe436.dat,3.0,0.682,0.00787,0.00239,-0.0648,0.0533,0.7901
fx63143.dat,3.0,0.6575,0.0099,0.00265,-0.0557,0.0538,0.0192
eh0009.dat,3.0,0.3299,0.00525,0.00094,0.0011,0.1836,0.8177
mh83.dat,3.0,0.8241,0.00644,0.00178,-0.0667,0.2629,0.6673
fx71089a.dat,3.0,0.3178,0.0065,0.00151,0.0062,0.0386,0.768
goe241.dat,3.0,1.4706,0.00992,0.00436,-0.2303,0.2968,0.4113
e343.dat,3.0,0.5739,0.00566,0.00182,-0.0107,0.3323,0.8977
goe81.dat,3.0,1.0096,0.00791,0.00187,-0.1292,0.2717,0.0248
goe775.dat,3.0,0.3248,0.00687,0.00187,0.0007,0.2967,0.5404
glennmartin2.dat,3.0,0.801,0.0083,0.0024,-0.0559,0.2765,0.251
naca64a410.dat,3.0,0.6723,0.00738,0.00191,-0.0806,0.0958,0.6768
s4095.dat,3.0,0.6283,0.00996,0.00593,-0.0537,0.2718,1.001
goe450.dat,3.0,0.9042,0.00937,0.00292,-0.1227,0.0051,0.5242
n10.dat,3.0,0.9497,0.00644,0.00223,-0.0882,0.2548,1.0001
mh113.dat,3.0,1.2435,0.00694,0.00249,-0.1971,0.4248,0.5961
s3010.dat,3.0,,,,,,
curtisc72.dat,3.0,1.0252,0.00653,0.00238,-0.1009,0.2609,1.0
ui1720.dat,3.0,0.8748,0.0081,0.00258,-0.0866,0.2164,0.372
e678.dat,3.0,1.0572,0.00588,0.00237,-0.1802,0.5749,0.7233
mh45.dat,3.0,,,,,,
sg6050.dat,3.0,0.7625,0.0065,0.00174,-0.0934,0.4527,0.4369
e387.dat,3.0,0.7416,0.00429,0.00097,-0.0815,0.4329,1.0
clarkx.dat,3.0,0.6705,0.00782,0.00264,-0.0751,0.0019,0.9549
fx73cl3152.dat,3.0,1.22,0.00787,0.0026,-0.178,0.3582,0.259
giiia.dat,3.0,0.2904,0.0056,0.00121,0.0214,0.14,0.9099
raf89.dat,3.0,0.3611,0.00711,0.00234,-0.006,0.3547,0.529
psu94097.dat,3.0,0.8539,0.00506,0.00148,-0.1137,0.4021,1.0
