name,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
naca671215.dat,1.5,0.3512,0.0035,0.00094,-0.0445,0.7505,0.8061
gs1.dat,1.5,0.6539,0.0061,0.00117,-0.1069,0.4363,0.3073
ag24.dat,1.5,0.4705,0.00492,0.00069,-0.0661,0.3873,0.6506
naca001034a08cli0.2.dat,1.5,0.347,0.00379,0.0006,-0.0434,0.5913,0.8217
mh43.dat,1.5,0.3135,0.00405,0.00046,-0.0235,0.4638,0.7661
rg149.dat,1.5,0.3695,0.00449,0.00071,-0.0413,0.3856,0.816
goe229.dat,1.5,0.9071,0.01154,0.00488,-0.1629,0.0413,0.3959
e195.dat,1.5,0.5175,0.00466,0.00073,-0.0717,0.5073,0.6232
wb140.dat,1.5,0.6107,0.0096,0.00325,-0.0903,0.2675,0.1403
hq258.dat,1.5,0.5155,0.00444,0.00063,-0.0769,0.4669,0.723
fxm2.dat,1.5,0.7453,0.00899,0.00212,-0.1013,0.0689,0.0268
goe217.dat,1.5,1.1016,0.0077,0.00263,-0.1844,0.3665,0.3642
fxs03182.dat,1.5,0.681,0.00501,0.00118,-0.1212,0.5707,0.5947
fx73k170.dat,1.5,0.7808,0.00478,0.00111,-0.1407,0.607,0.5961
ah93w215.dat,1.5,0.4908,0.0056,0.00131,-0.0632,0.4747,0.535
goe410.dat,1.5,0.1746,0.00608,0.00107,0.0002,0.2989,0.4372
e662.dat,1.5,0.8271,0.00394,0.00104,-0.1531,0.6884,0.7638
s1221.dat,1.5,,,,,,
ah79100c.dat,1.5,1.0481,0.00532,0.0013,-0.2103,0.6089,0.408
e542.dat,1.5,0.3941,0.00462,0.00114,-0.0391,0.5435,0.7553
naca663418.dat,1.5,0.5378,0.00426,0.00111,-0.0871,0.6775,0.7014
defcnd2.dat,1.5,0.493,0.00595,0.00148,-0.0526,0.3249,0.7234
ag46ct02r.dat,1.5,0.3342,0.00417,0.00056,-0.028,0.3143,0.9311
ag47ct02r.dat,1.5,0.2953,0.00419,0.00052,-0.0212,0.2499,1.0
df101.dat,1.5,0.4186,0.00516,0.00078,-0.0504,0.424,0.5533
s3024.dat,1.5,0.5402,0.00424,0.00078,-0.074,0.4951,0.8098
fg2.dat,1.5,0.4959,0.00715,0.00114,-0.0514,0.3086,0.0271
c141d.dat,1.5,0.3756,0.00505,0.001,-0.0488,0.3903,0.7559
sd7062.dat,1.5,0.6449,0.00589,0.00127,-0.0875,0.3672,0.5323
rc08b3.dat,1.5,0.1963,0.00354,0.00059,0.0021,0.501,0.9499
n64008a.dat,1.5,0.1579,0.00487,0.00058,0.001,0.2333,0.7772
goe612.dat,1.5,0.683,0.00682,0.00162,-0.1017,0.3737,0.324
fx66s196.dat,1.5,0.6759,0.00567,0.0014,-0.1091,0.5115,0.5216
e228.dat,1.5,0.1389,0.00452,0.00053,0.012,0.4022,0.6825
goe269.dat,1.5,0.6888,0.00688,0.00127,-0.0999,0.371,0.0594
e591.dat,1.5,1.1163,0.00745,0.0023,-0.2048,0.3677,0.3581
mh42.dat,1.5,0.3243,0.00418,0.00051,-0.0248,0.4471,0.7643
e422.dat,1.5,0.8802,0.0069,0.00156,-0.1259,0.3864,0.1959
hq2512.dat,1.5,0.5224,0.0048,0.00081,-0.0763,0.4735,0.6374
hq2511.dat,1.5,0.5209,0.00497,0.00085,-0.0766,0.4299,0.6542
s7075.dat,1.5,0.5759,0.00464,0.00088,-0.0917,0.4475,0.7768
goe344.dat,1.5,0.4353,0.00693,0.00108,-0.0492,0.2912,0.1657
hq17.dat,1.5,0.758,0.00448,0.00117,-0.1326,0.6005,0.7812
goe645.dat,1.5,0.6704,0.00739,0.00168,-0.0898,0.2843,0.2683
ah7476.dat,1.5,1.0418,0.00762,0.00204,-0.2038,0.3955,0.0222
ames01.dat,1.5,0.2263,0.00551,0.00121,0.0018,0.2211,0.8227
e423.dat,1.5,1.2962,0.00702,0.00216,-0.2406,0.5064,0.1401
goe738.dat,1.5,0.2456,0.00531,0.00098,0.0065,0.397,0.5588
goe531.dat,1.5,1.2657,0.01007,0.00562,-0.2579,0.593,0.0578
m6.dat,1.5,0.2491,0.00452,0.00087,0.0017,0.4516,0.7899
s9033.dat,1.5,0.1662,0.00527,0.00056,0.0009,0.2124,0.6154
goe532.dat,1.5,0.7112,0.00773,0.00188,-0.0973,0.1827,0.3672
hobie.dat,1.5,0.6217,0.00706,0.00099,-0.0998,0.2926,0.0561
goe525.dat,1.5,1.3861,0.0093,0.00412,-0.2641,0.3924,0.2946
fx75193.dat,1.5,0.7749,0.00474,0.00147,-0.145,0.6463,0.6641
ls421mod.dat,1.5,0.7489,0.00696,0.00243,-0.1049,0.3583,0.6233
e682.dat,1.5,0.5427,0.00389,0.00108,-0.0757,0.6659,0.8212
s8035.dat,1.5,,,,,,
isa962.dat,1.5,0.773,0.00765,0.0016,-0.0929,0.2647,0.1078
wb13535sm.dat,1.5,,,,,,
e325.dat,1.5,0.0869,0.00467,0.00091,0.0539,0.3366,0.8424
n9.dat,1.5,0.6241,0.00543,0.00134,-0.0644,0.2363,0.9986
rhodesg36.dat,1.5,0.901,0.00881,0.00274,-0.0822,0.2688,0.1578
e433.dat,1.5,0.7906,0.00446,0.00112,-0.1411,0.6089,0.7329
usa45.dat,1.5,,,,,,
naca65210.dat,1.5,0.3486,0.0042,0.00055,-0.0434,0.5104,0.7118
naca633018.dat,1.5,0.1811,0.00503,0.00091,-0.0025,0.4815,0.5415
ah93156.dat,1.5,0.5872,0.004,0.00104,-0.0798,0.6124,0.8429
e360.dat,1.5,0.2761,0.00431,0.0007,-0.0067,0.4461,0.7852
goe613.dat,1.5,0.6155,0.00703,0.00111,-0.0858,0.3459,0.055
fx77w270.dat,1.5,0.6991,0.0113,0.00512,-0.0751,0.3665,0.1159
naca1410.dat,1.5,0.2913,0.00517,0.00075,-0.0266,0.3723,0.6095
fx83w227.dat,1.5,0.4033,0.00614,0.00188,-0.0492,0.4769,0.573
giiik.dat,1.5,0.292,0.00444,0.00063,-0.0162,0.3936,0.7729
ssca09.dat,1.5,0.2569,0.00514,0.00097,-0.0107,0.2408,0.8245
fx69h098.dat,1.5,0.291,0.00455,0.0009,-0.0131,0.3045,0.9615
ah21-7.dat,1.5,0.5165,0.0049,0.00099,-0.0863,0.4051,0.7954
goe336.dat,1.5,0.6051,0.00678,0.00103,-0.0691,0.3998,0.0296
ah83150q.dat,1.5,0.5974,0.00433,0.00111,-0.0721,0.5571,0.8069
sc1012r8.dat,1.5,0.4261,0.0074,0.00168,-0.0301,0.1551,0.4248
hq3518.dat,1.5,0.6512,0.00624,0.00161,-0.1012,0.416,0.5084
ah63k127.dat,1.5,0.6523,0.00366,0.00068,-0.1056,0.661,0.7818
e58.dat,1.5,1.0682,0.00953,0.00278,-0.2262,0.0855,0.1941
goe418.dat,1.5,0.6805,0.00732,0.00151,-0.094,0.3279,0.1005
naca16012.dat,1.5,0.1224,0.00401,0.00083,0.0096,0.5455,0.8852
giiin.dat,1.5,0.3059,0.00706,0.00096,-0.0089,0.2519,0.0385
naca633418.dat,1.5,0.5407,0.00523,0.0011,-0.0817,0.4926,0.5376
s1016.dat,1.5,0.1625,0.00467,0.00124,0.0005,0.5059,0.7561
s1223rtl.dat,1.5,1.3809,0.00987,0.00408,-0.2665,0.2651,0.2907
ls417mod.dat,1.5,0.6629,0.00705,0.00218,-0.1004,0.2743,0.6418
hq3514.dat,1.5,0.6582,0.00588,0.00128,-0.1046,0.4087,0.5258
mh45.dat,1.5,0.2442,0.00478,0.00057,0.0004,0.3869,0.6182
ah81131.dat,1.5,0.2299,0.00309,0.00067,0.0124,0.6348,0.9572
e176.dat,1.5,0.4897,0.00401,0.00058,-0.0619,0.5014,0.8038
fx60157.dat,1.5,0.6758,0.00699,0.00201,-0.1232,0.2681,0.6514
goe682.dat,1.5,0.6446,0.00613,0.00101,-0.0968,0.4115,0.2664
sc20714.dat,1.5,0.7619,0.00877,0.00306,-0.1428,0.0721,0.6247
ah93k130.dat,1.5,0.3477,0.00313,0.0008,-0.0189,0.6703,0.9525
ah95160.dat,1.5,0.8581,0.00493,0.00132,-0.1398,0.5752,0.6591
goe284.dat,1.5,0.6987,0.00725,0.0017,-0.0936,0.4337,0.1167
ys915.dat,1.5,0.3813,0.00466,0.00072,-0.0642,0.5474,0.5826
hq300gd2.dat,1.5,0.8111,0.00507,0.00146,-0.1303,0.5242,0.7419
nl722343.dat,1.5,0.3824,0.00608,0.00113,-0.0472,0.1716,0.6873
giiie.dat,1.5,0.2476,0.00364,0.00042,-0.0101,0.5609,0.8022
goe303.dat,1.5,0.8259,0.00669,0.00126,-0.1276,0.432,0.0927
e344.dat,1.5,0.4979,0.00526,0.00149,-0.0329,0.3521,0.8803
