name,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
e186.dat,-0.5,,,,,,
naca654421a05.dat,-0.5,0.2656,0.00503,0.00119,-0.0586,0.573,0.5678
goe648.dat,-0.5,0.3983,0.00809,0.00165,-0.079,0.3047,0.0023
eh3012.dat,-0.5,0.0882,0.0071,0.00103,0.0006,0.3934,0.0016
naca662215.dat,-0.5,0.1225,0.00375,0.00069,-0.0418,0.7128,0.6936
ag46ct02r.dat,-0.5,0.1148,0.00529,0.00039,-0.0291,0.5004,0.2154
naca6412.dat,-0.5,0.5774,0.00631,0.00109,-0.1339,0.5109,0.1158
ag47c03.dat,-0.5,-0.0292,0.00552,0.00054,-0.0197,0.6337,0.04
goe604.dat,-0.5,0.4661,0.00794,0.00175,-0.0777,0.366,0.0025
usa48.dat,-0.5,0.3154,0.00717,0.00125,-0.0799,0.4543,0.0347
ua79sf18.dat,-0.5,0.487,0.00472,0.00113,-0.1236,0.7198,0.4995
mh95.dat,-0.5,0.1735,0.00473,0.00096,-0.0451,0.5214,0.6413
goe585.dat,-0.5,0.319,0.0062,0.00067,-0.074,0.494,0.0196
s1223rtl.dat,-0.5,1.1475,0.00958,0.0034,-0.2659,0.2767,0.0452
ls417.dat,-0.5,0.4918,0.00462,0.00127,-0.1213,0.6614,0.6194
ht12.dat,-0.5,-0.0477,0.0054,0.0005,-0.0021,0.4324,0.3003
ag03.dat,-0.5,0.1455,0.00551,0.00044,-0.0339,0.5292,0.1291
ah79100a.dat,-0.5,0.4359,0.00462,0.00049,-0.1167,0.6093,0.3642
hq209.dat,-0.5,0.2288,0.00497,0.00042,-0.0613,0.6444,0.2084
rhodesg34.dat,-0.5,0.6292,0.00788,0.0018,-0.0833,0.2801,0.1393
rcsc2.dat,-0.5,0.0345,0.00508,0.00075,-0.0236,0.6917,0.292
rg12.dat,-0.5,0.1619,0.0042,0.00043,-0.0486,0.5985,0.5573
hsnlf213.dat,-0.5,0.0482,0.00377,0.00075,-0.0106,0.6751,0.7279
waspsm.dat,-0.5,0.2737,0.00578,0.00065,-0.0663,0.4885,0.1872
e583.dat,-0.5,0.4953,0.00446,0.00102,-0.1084,0.5776,0.7078
rae5214.dat,-0.5,0.1741,0.00487,0.00057,-0.054,0.4736,0.4757
arad20.dat,-0.5,0.3058,0.00815,0.00285,-0.0366,0.3216,0.4044
e342.dat,-0.5,0.1439,0.00741,0.00137,-0.0007,0.3636,0.0521
sc20712.dat,-0.5,0.4983,0.0068,0.00184,-0.13,0.2247,0.609
giiik.dat,-0.5,0.0837,0.00601,0.00075,-0.0189,0.5844,0.028
goe802.dat,-0.5,0.5883,0.0068,0.00133,-0.1235,0.4868,0.0019
goe422.dat,-0.5,0.6934,0.00736,0.00182,-0.1468,0.463,0.0861
amsoil1.dat,-0.5,0.1799,0.00583,0.00096,-0.0496,0.6538,0.104
mh84.dat,-0.5,0.4111,0.00678,0.0012,-0.0704,0.3194,0.1255
fx78k150.dat,-0.5,0.3611,0.00502,0.0009,-0.0845,0.6417,0.3956
fx63137.dat,-0.5,0.8647,0.00794,0.0019,-0.2077,0.351,0.0383
raf32md.dat,-0.5,0.4603,0.00489,0.00053,-0.1213,0.6561,0.2356
goe322.dat,-0.5,0.5204,0.00714,0.00147,-0.0918,0.4612,0.0022
mh108.dat,-0.5,-0.059,0.00579,0.00072,0.018,0.3493,0.3727
s8023.dat,-0.5,-0.0568,0.00602,0.00051,-0.0003,0.3022,0.2233
raf25.dat,-0.5,0.0788,0.00438,0.00028,-0.0321,0.6997,0.3369
naca643418.dat,-0.5,0.3001,0.00508,0.00096,-0.0793,0.5319,0.512
sg6051.dat,-0.5,0.3173,0.00519,0.00107,-0.0814,0.6689,0.3905
goe288.dat,-0.5,0.6247,0.00672,0.00158,-0.1407,0.434,0.2676
n64110.dat,-0.5,0.0323,0.00395,0.00036,-0.0207,0.6368,0.5656
p51dtip.dat,-0.5,0.0883,0.00373,0.00044,-0.0319,0.6725,0.6558
eh1090.dat,-0.5,-0.0126,0.00476,0.00044,0.0003,0.4985,0.4698
giiie.dat,-0.5,0.039,0.00543,0.00053,-0.012,0.6667,0.1187
fx601261.dat,-0.5,0.5311,0.0067,0.00105,-0.1329,0.4537,0.0081
eiffel428.dat,-0.5,0.4364,0.00851,0.00169,-0.0821,0.0908,0.0383
goe228.dat,-0.5,0.8836,0.00803,0.0022,-0.1984,0.406,0.0722
saratov.dat,-0.5,0.7759,0.00693,0.00184,-0.1872,0.4648,0.1272
hq2511.dat,-0.5,0.3002,0.00438,0.00049,-0.077,0.6273,0.4574
e176.dat,-0.5,0.2669,0.00565,0.0005,-0.0615,0.5591,0.0601
e207.dat,-0.5,0.2067,0.00521,0.00063,-0.0499,0.4993,0.3905
goe574.dat,-0.5,,,,,,
hq3518.dat,-0.5,0.4348,0.00539,0.0011,-0.1026,0.5322,0.4449
usa45.dat,-0.5,,,,,,
goe535.dat,-0.5,0.6321,0.0074,0.00168,-0.1353,0.3807,0.0814
naca654421.dat,-0.5,0.297,0.00501,0.00118,-0.0784,0.5776,0.5685
hq2512.dat,-0.5,0.2977,0.00434,0.00054,-0.0762,0.6093,0.5163
hor12.dat,-0.5,0.4304,0.00673,0.00156,-0.1095,0.472,0.1695
sd7034.dat,-0.5,0.3589,0.00564,0.00066,-0.0791,0.5222,0.1397
e862.dat,-0.5,-0.0651,0.008,0.00273,0.0017,0.3777,0.3695
hq1585.dat,-0.5,0.1521,0.00394,0.00032,-0.0466,0.6605,0.5166
e195.dat,-0.5,0.2914,0.0051,0.00062,-0.0711,0.5509,0.3518
goe242.dat,-0.5,1.004,0.00747,0.00206,-0.2274,0.4748,0.0204
naca654221.dat,-0.5,0.1191,0.00492,0.0011,-0.0388,0.5783,0.5686
mh62.dat,-0.5,0.0299,0.00489,0.00045,-0.0053,0.5395,0.3566
ah80129.dat,-0.5,,,,,,
rae5213.dat,-0.5,0.1812,0.00461,0.00052,-0.0547,0.5379,0.4749
e591.dat,-0.5,0.8897,0.00689,0.00181,-0.2056,0.418,0.2734
ncambre.dat,-0.5,0.0531,0.0067,0.00099,-0.0094,0.4526,0.0869
goe29b.dat,-0.5,0.5688,0.0072,0.00146,-0.1087,0.3755,0.0198
e555.dat,-0.5,0.4017,0.00523,0.00088,-0.1134,0.5305,0.4361
r1046.dat,-0.5,0.6081,0.00635,0.00148,-0.1233,0.5199,0.2362
usa26.dat,-0.5,0.35,0.00703,0.00107,-0.0735,0.3915,0.021
sc20414.dat,-0.5,0.2555,0.0054,0.00134,-0.0902,0.4699,0.5872
goe229.dat,-0.5,0.6882,0.01151,0.00403,-0.1615,0.0463,0.0256
hq2195.dat,-0.5,0.2607,0.00404,0.00041,-0.0703,0.6775,0.485
n63415.dat,-0.5,0.3024,0.00468,0.00071,-0.0809,0.5571,0.5133
eh2012.dat,-0.5,,,,,,
goe394.dat,-0.5,,,,,,
naca66206.dat,-0.5,0.1268,0.00396,0.00024,-0.0437,0.7932,0.3724
ah79100c.dat,-0.5,0.8424,0.00528,0.00087,-0.2135,0.6757,0.1051
m20.dat,-0.5,,,,,,
e422.dat,-0.5,0.6529,0.0069,0.00141,-0.1267,0.4009,0.1138
oaf095.dat,-0.5,0.4738,0.00535,0.001,-0.1271,0.6249,0.2409
naca23018.dat,-0.5,0.0787,0.00622,0.00131,-0.0049,0.3665,0.4758
fg4.dat,-0.5,0.3155,0.01038,0.00324,-0.0423,0.0526,0.0218
sg6041.dat,-0.5,0.2333,0.00404,0.00048,-0.0613,0.6716,0.5385
usa40b.dat,-0.5,0.4592,0.00754,0.00144,-0.0985,0.2705,0.0902
goe123.dat,-0.5,,,,,,
goe796.dat,-0.5,0.3383,0.00603,0.00092,-0.0851,0.5879,0.1048
k3.dat,-0.5,0.5346,0.00673,0.00206,-0.1534,0.4147,0.4798
mh83.dat,-0.5,0.4097,0.00726,0.0013,-0.0653,0.3131,0.0204
e541.dat,-0.5,0.2048,0.0041,0.00111,-0.0536,0.6853,0.7475
goe423.dat,-0.5,0.4692,0.0072,0.00154,-0.1059,0.4961,0.0691
davis_corrected.dat,-0.5,0.1124,0.0059,0.00099,-0.0171,0.4161,0.3733
rc12b3.dat,-0.5,0.0608,0.00595,0.00096,-0.0064,0.6395,0.1398
giiic.dat,-0.5,-0.0151,0.00537,0.00061,0.0021,0.6143,0.2439
hq3010.dat,-0.5,0.3689,0.00546,0.00054,-0.0912,0.6353,0.0548
s1016.dat,-0.5,-0.0591,0.00359,0.00079,0.0007,0.7426,0.6906
goe477.dat,-0.5,,,,,,
fxm2.dat,-0.5,0.5218,0.0082,0.00178,-0.1035,0.1546,0.0211
sa7038.dat,-0.5,0.3424,0.00559,0.00058,-0.0826,0.5543,0.1096
ua2-180sm.dat,-0.5,0.5804,0.00782,0.00231,-0.096,0.4675,0.0171
goe346.dat,-0.5,0.3472,0.00568,0.00071,-0.0775,0.6258,0.0139
goe769.dat,-0.5,0.3841,0.00736,0.00141,-0.0628,0.3116,0.0591
usa40.dat,-0.5,0.5065,0.00697,0.00128,-0.1178,0.3466,0.1502
curtisc72.dat,-0.5,0.6379,0.00576,0.00106,-0.1008,0.416,0.4669
naca001066.dat,-0.5,0.0356,0.00405,0.00084,-0.0217,0.8801,0.5319
naca23021.dat,-0.5,0.0782,0.00672,0.00164,-0.0021,0.3488,0.4576
aquilasm.dat,-0.5,0.3368,0.00621,0.00078,-0.0653,0.4927,0.0147
r1082t.dat,-0.5,0.2788,0.00444,0.00089,-0.0654,0.5503,0.707
cast102.dat,-0.5,0.2214,0.00386,0.00066,-0.0646,0.7714,0.5918
dfvlrr4.dat,-0.5,0.3916,0.00583,0.00138,-0.1174,0.3849,0.6096
avistar.dat,-0.5,0.1136,0.00715,0.00133,-0.0315,0.4978,0.0346
e551.dat,-0.5,0.3826,0.00537,0.00101,-0.1003,0.5194,0.4557
goe387.dat,-0.5,0.4996,0.00703,0.00143,-0.0992,0.4719,0.0235
s9000.dat,-0.5,0.2876,0.00479,0.0005,-0.0741,0.5478,0.4081
eh0009.dat,-0.5,-0.0555,0.00438,0.00039,-0.0001,0.5919,0.4896
naca66-018.dat,-0.5,-0.06,0.00409,0.00094,0.0012,0.6952,0.6867
goe286.dat,-0.5,,,,,,
nlf416.dat,-0.5,0.4216,0.00521,0.00106,-0.1063,0.4363,0.6162
goe381.dat,-0.5,,,,,,
e850.dat,-0.5,0.2722,0.00322,0.00026,-0.0922,0.8654,0.531
oa213.dat,-0.5,0.1026,0.0069,0.00138,0.0021,0.4617,0.0581
c5d.dat,-0.5,0.1776,0.00437,0.0006,-0.0611,0.6979,0.4742
mh81.dat,-0.5,0.1354,0.00694,0.0011,-0.001,0.3054,0.1086
e818.dat,-0.5,0.4217,0.00365,0.00035,-0.1349,0.8228,0.4315
n64012.dat,-0.5,-0.0585,0.00418,0.00047,0.0005,0.5996,0.5632
mh30.dat,-0.5,0.151,0.00438,0.00035,-0.043,0.639,0.402
naca1412.dat,-0.5,,,,,,
rc410.dat,-0.5,0.0559,0.00612,0.00082,-0.0031,0.5188,0.0994
ys930.dat,-0.5,0.3574,0.00448,0.00045,-0.1105,0.7795,0.2581
joukowsk.dat,-0.5,-0.0587,0.00537,0.00063,0.0001,0.4267,0.3614
goe361.dat,-0.5,,,,,,
hq259b.dat,-0.5,0.3265,0.00512,0.00047,-0.0842,0.6814,0.0947
naca0006.dat,-0.5,-0.0543,0.00467,0.00035,-0.0,0.6187,0.3705
goe116.dat,-0.5,0.378,0.00564,0.00063,-0.0976,0.5882,0.1307
s6062.dat,-0.5,0.1142,0.00448,0.00036,-0.0339,0.62,0.3918
fx6617ai.dat,-0.5,0.3847,0.00546,0.00109,-0.0901,0.4681,0.5288
e625.dat,-0.5,0.0639,0.00717,0.00125,0.0138,0.3802,0.0685
goe704.dat,-0.5,0.0667,0.00663,0.00111,-0.0092,0.5552,0.0934
naca664221.dat,-0.5,0.1169,0.00453,0.00132,-0.0393,0.6814,0.6781
sc20710.dat,-0.5,0.4782,0.00661,0.00161,-0.1259,0.1949,0.6298
mh113.dat,-0.5,0.8642,0.00609,0.00137,-0.1993,0.549,0.1881
e336.dat,-0.5,0.0397,0.00753,0.00129,0.0197,0.3243,0.0447
fauvel.dat,-0.5,-0.0287,0.00754,0.00139,0.0354,0.3383,0.033
ah81k144.dat,-0.5,0.3904,0.0047,0.00078,-0.0916,0.6546,0.4327
ma409.dat,-0.5,0.4905,0.00571,0.00064,-0.1055,0.4433,0.2564
naca4412.dat,-0.5,0.4355,0.00588,0.0009,-0.1047,0.5291,0.205
goe389.dat,-0.5,0.3995,0.00682,0.00094,-0.0916,0.4129,0.0234
j5012.dat,-0.5,-0.0499,0.00451,0.00062,-0.0014,0.6176,0.519
sa7024.dat,-0.5,0.3688,0.00562,0.00047,-0.0927,0.5788,0.0099
usa50.dat,-0.5,0.1876,0.00607,0.00046,-0.0515,0.5256,0.0031
fx60177.dat,-0.5,0.4905,0.00494,0.00114,-0.1291,0.6148,0.5345
clarkys.dat,-0.5,-0.0134,0.00285,-0.00285,0.023,0.5001,0.002
fx78pk188.dat,-0.5,0.2363,0.00423,0.00099,-0.0642,0.6695,0.685
gs1.dat,-0.5,0.4295,0.00607,0.00099,-0.108,0.4957,0.1815
naca65206.dat,-0.5,0.1243,0.0038,0.00021,-0.0431,0.7692,0.4306
supermarine371ii.dat,-0.5,0.0414,0.0035,0.0003,-0.0208,0.7212,0.65
rg149.dat,-0.5,0.1593,0.00547,0.00054,-0.0435,0.5746,0.1788
goe592.dat,-0.5,0.7539,0.00672,0.00148,-0.1582,0.5552,0.0023
jx-gs-10.dat,-0.5,0.0904,0.00474,0.00038,-0.0246,0.5371,0.4
usa34.dat,-0.5,0.5207,0.00823,0.00234,-0.0996,0.4634,0.0028
clarkv.dat,-0.5,,,,,,
e852.dat,-0.5,0.3798,0.00395,0.00041,-0.1123,0.7182,0.5013
goe723.dat,-0.5,0.4345,0.00631,0.00095,-0.1068,0.5313,0.0281
