name,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
naca671215.dat,0.5,0.2386,0.00348,0.00094,-0.0438,0.7816,0.7959
gs1.dat,0.5,0.5419,0.00598,0.00104,-0.1075,0.4664,0.2575
ag24.dat,0.5,0.356,0.00483,0.0005,-0.0656,0.4667,0.5043
naca001034a08cli0.2.dat,0.5,,,,,,
mh43.dat,0.5,0.2022,0.00427,0.00036,-0.0236,0.5255,0.5769
rg149.dat,0.5,0.2613,0.00414,0.00051,-0.0422,0.4945,0.7247
goe229.dat,0.5,0.8011,0.01092,0.00429,-0.1633,0.0434,0.3791
e195.dat,0.5,0.4043,0.0048,0.00064,-0.0714,0.5312,0.5043
wb140.dat,0.5,0.5044,0.009,0.0031,-0.0902,0.3891,0.1358
hq258.dat,0.5,0.4068,0.00396,0.0004,-0.0772,0.5936,0.6376
fxm2.dat,0.5,0.6323,0.0088,0.002,-0.1022,0.0755,0.0238
goe217.dat,0.5,0.9792,0.00766,0.00245,-0.1833,0.381,0.2748
fxs03182.dat,0.5,0.563,0.00487,0.00109,-0.1192,0.5889,0.5878
fx73k170.dat,0.5,0.6701,0.00463,0.00098,-0.1404,0.6202,0.5848
ah93w215.dat,0.5,0.3897,0.0056,0.00126,-0.0659,0.4879,0.4977
goe410.dat,0.5,0.0581,0.00585,0.00095,0.0001,0.3569,0.4067
e662.dat,0.5,0.7138,0.00376,0.00093,-0.1523,0.7179,0.7482
s1221.dat,0.5,0.8324,0.00702,0.00151,-0.1878,0.3016,0.2804
ah79100c.dat,0.5,0.9461,0.00524,0.00101,-0.212,0.6483,0.2236
e542.dat,0.5,0.2776,0.00451,0.00109,-0.0373,0.5593,0.7532
naca663418.dat,0.5,0.4196,0.00417,0.00105,-0.0849,0.688,0.697
defcnd2.dat,0.5,0.3872,0.00601,0.00133,-0.0538,0.3316,0.6196
ag46ct02r.dat,0.5,0.2272,0.00472,0.00039,-0.0293,0.408,0.5501
ag47ct02r.dat,0.5,0.1874,0.00462,0.00034,-0.0223,0.3988,0.5702
df101.dat,0.5,0.3109,0.00519,0.00064,-0.0513,0.4977,0.3918
s3024.dat,0.5,0.4333,0.00476,0.00058,-0.0747,0.5604,0.4312
fg2.dat,0.5,0.3954,0.00729,0.00141,-0.0541,0.338,0.0274
c141d.dat,0.5,0.2765,0.00426,0.00068,-0.0514,0.6018,0.6497
sd7062.dat,0.5,0.5297,0.00587,0.00109,-0.0873,0.4015,0.4037
rc08b3.dat,0.5,0.0991,0.00358,0.0004,-0.0013,0.6504,0.7256
n64008a.dat,0.5,0.0539,0.00367,0.0003,0.0003,0.587,0.7121
goe612.dat,0.5,0.592,0.00606,0.00121,-0.1062,0.4891,0.2616
fx66s196.dat,0.5,0.557,0.00557,0.0013,-0.107,0.5162,0.519
e228.dat,0.5,0.0284,0.00454,0.00045,0.0117,0.4871,0.5652
goe269.dat,0.5,,,,,,
e591.dat,0.5,1.0041,0.00711,0.00203,-0.2055,0.3924,0.3266
mh42.dat,0.5,0.214,0.00439,0.00041,-0.0252,0.5075,0.5766
e422.dat,0.5,0.7675,0.00679,0.00145,-0.1264,0.3972,0.1657
hq2512.dat,0.5,0.4112,0.00436,0.00062,-0.0764,0.5605,0.604
hq2511.dat,0.5,0.412,0.00431,0.00056,-0.0771,0.5568,0.6101
s7075.dat,0.5,0.4687,0.00458,0.00061,-0.0926,0.5473,0.5376
goe344.dat,0.5,0.3226,0.0067,0.00097,-0.0493,0.3544,0.1371
hq17.dat,0.5,0.6493,0.00414,0.00099,-0.1324,0.6359,0.7603
goe645.dat,0.5,0.5647,0.00713,0.00141,-0.0916,0.3308,0.1997
ah7476.dat,0.5,0.9302,0.00744,0.00208,-0.2036,0.4504,0.021
ames01.dat,0.5,0.1131,0.00634,0.00115,0.0022,0.25,0.4811
e423.dat,0.5,1.1892,0.00686,0.00196,-0.2417,0.5169,0.1103
goe738.dat,0.5,0.1379,0.00589,0.00099,0.0051,0.4187,0.3479
goe531.dat,0.5,1.1819,0.00951,0.00506,-0.2622,0.5992,0.0553
m6.dat,0.5,,,,,,
s9033.dat,0.5,0.0556,0.00527,0.00044,0.0003,0.3209,0.4518
goe532.dat,0.5,0.615,0.00716,0.00121,-0.1003,0.349,0.0276
hobie.dat,0.5,0.5137,0.00655,0.00084,-0.1008,0.3878,0.0543
goe525.dat,0.5,1.2866,0.00901,0.00355,-0.2659,0.4087,0.1196
fx75193.dat,0.5,0.6607,0.00437,0.00118,-0.1438,0.6757,0.655
ls421mod.dat,0.5,0.624,0.00655,0.00217,-0.1027,0.3921,0.6107
e682.dat,0.5,0.4237,0.00372,0.00093,-0.0736,0.6816,0.8105
s8035.dat,0.5,0.0542,0.00542,0.0008,0.0006,0.4138,0.4801
isa962.dat,0.5,0.6593,0.00757,0.00144,-0.0928,0.2957,0.0313
wb13535sm.dat,0.5,0.459,0.00564,0.00084,-0.0848,0.4948,0.3213
e325.dat,0.5,-0.0283,0.00442,0.00075,0.0544,0.3577,0.8269
n9.dat,0.5,0.5156,0.00595,0.00102,-0.0651,0.2947,0.5664
rhodesg36.dat,0.5,0.8088,0.00867,0.00255,-0.0861,0.2721,0.1457
e433.dat,0.5,0.6807,0.00417,0.00091,-0.1411,0.6469,0.7063
usa45.dat,0.5,,,,,,
naca65210.dat,0.5,0.237,0.00371,0.00039,-0.043,0.6342,0.6809
naca633018.dat,0.5,0.0604,0.00498,0.00086,-0.0008,0.5032,0.5234
ah93156.dat,0.5,0.471,0.0038,0.00088,-0.0785,0.6302,0.8182
e360.dat,0.5,0.1629,0.00415,0.0006,-0.0066,0.4909,0.7451
goe613.dat,0.5,0.513,0.00673,0.00099,-0.0878,0.4101,0.037
fx77w270.dat,0.5,0.5648,0.01142,0.00512,-0.0697,0.3746,0.0629
naca1410.dat,0.5,0.179,0.00501,0.00062,-0.0266,0.474,0.5047
fx83w227.dat,0.5,0.3152,0.00604,0.0017,-0.0538,0.4968,0.5167
giiik.dat,0.5,,,,,,
ssca09.dat,0.5,0.1375,0.00468,0.00076,-0.0087,0.3831,0.7375
fx69h098.dat,0.5,0.1911,0.00519,0.00072,-0.0161,0.3388,0.6381
ah21-7.dat,0.5,0.4253,0.00402,0.0006,-0.0906,0.6215,0.6776
goe336.dat,0.5,0.4922,0.00676,0.001,-0.0689,0.4204,0.0206
ah83150q.dat,0.5,0.4783,0.00409,0.00089,-0.0704,0.5698,0.7829
sc1012r8.dat,0.5,0.3082,0.00801,0.00155,-0.0292,0.1936,0.0691
hq3518.dat,0.5,0.539,0.00597,0.00141,-0.1012,0.4408,0.4908
ah63k127.dat,0.5,0.5367,0.00361,0.00061,-0.1044,0.6766,0.754
e58.dat,0.5,1.0064,0.00592,0.00119,-0.2356,0.559,0.1504
goe418.dat,0.5,0.5744,0.00682,0.00128,-0.0963,0.4018,0.0946
naca16012.dat,0.5,0.0424,0.00306,0.00056,0.003,0.7691,0.8594
giiin.dat,0.5,0.1946,0.00649,0.00085,-0.0096,0.4004,0.0335
naca633418.dat,0.5,0.4207,0.00512,0.00099,-0.0801,0.5108,0.5185
s1016.dat,0.5,0.0592,0.00359,0.00079,-0.0007,0.691,0.7428
s1223rtl.dat,0.5,1.269,0.00959,0.00371,-0.2674,0.2697,0.2152
ls417mod.dat,0.5,0.5411,0.00673,0.00199,-0.099,0.2916,0.6363
hq3514.dat,0.5,0.5448,0.00566,0.0011,-0.1043,0.4363,0.4947
mh45.dat,0.5,0.1311,0.00489,0.00048,0.0004,0.4516,0.4686
ah81131.dat,0.5,0.1337,0.00392,0.0006,0.0091,0.6478,0.6538
e176.dat,0.5,0.38,0.005,0.00044,-0.0619,0.5319,0.3175
fx60157.dat,0.5,0.5789,0.00605,0.00153,-0.1257,0.3829,0.6259
goe682.dat,0.5,0.5361,0.00603,0.00085,-0.0978,0.4554,0.1823
sc20714.dat,0.5,0.6468,0.00806,0.00261,-0.1429,0.1189,0.6182
ah93k130.dat,0.5,0.2603,0.00461,0.00073,-0.0237,0.6955,0.407
ah95160.dat,0.5,0.735,0.00523,0.0012,-0.1369,0.5807,0.4859
goe284.dat,0.5,0.5772,0.00723,0.00166,-0.0921,0.4458,0.1073
ys915.dat,0.5,0.3019,0.00365,0.00037,-0.0708,0.8172,0.4951
hq300gd2.dat,0.5,0.689,0.00489,0.00132,-0.1277,0.5396,0.7294
nl722343.dat,0.5,0.2738,0.00548,0.00089,-0.048,0.2655,0.6771
giiie.dat,0.5,0.1364,0.00355,0.00034,-0.01,0.6211,0.7407
goe303.dat,0.5,0.7124,0.00667,0.00113,-0.1274,0.4672,0.0192
e344.dat,0.5,0.4122,0.00713,0.00137,-0.0378,0.3603,0.1387
e387.dat,0.5,0.4607,0.00486,0.00052,-0.0812,0.5269,0.4055
e551.dat,0.5,0.4994,0.00551,0.00108,-0.1014,0.5018,0.4612
e338.dat,0.5,0.3157,0.00679,0.00116,-0.0185,0.3618,0.1881
goe500.dat,0.5,0.7916,0.00558,0.00084,-0.169,0.5668,0.134
usa29.dat,0.5,0.5033,0.00665,0.00121,-0.0896,0.4775,0.1137
goe147.dat,0.5,,,,,,
e209.dat,0.5,0.3093,0.00515,0.00072,-0.0532,0.4774,0.4879
naca001264a08cli0.2.dat,0.5,0.2552,0.00586,0.00081,-0.0307,0.6264,0.1432
naca642415.dat,0.5,0.4199,0.00474,0.00079,-0.0827,0.5447,0.5555
oaf139.dat,0.5,-0.1151,0.0068,0.00167,0.0389,0.2887,0.3905
nn7mk20.dat,0.5,0.5308,0.00473,0.00091,-0.1075,0.5696,0.5851
m24.dat,0.5,0.3742,0.0073,0.0015,-0.0183,0.4277,0.0016
goe675.dat,0.5,0.7473,0.00751,0.00179,-0.1434,0.4145,0.0925
naca651212.dat,0.5,0.2389,0.00389,0.00049,-0.043,0.6281,0.6553
ag03.dat,0.5,0.2567,0.0048,0.00045,-0.0341,0.4236,0.5449
as5048.dat,0.5,0.3546,0.00472,0.00096,-0.0634,0.5992,0.6207
s3021.dat,0.5,0.3582,0.00518,0.00054,-0.0555,0.5031,0.3425
